,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
143,Clinique,"[""Free 4 week supply of Clinique's #1 serum""
 'Free moisturizer, eye cream and dark circle corrector minis']",2013-09-22,0.0,1.0,0.0,2013,9,22,Sunday,False,Normal,Normal,Normal,Labor Day,0.0,False
144,Clinique,Free 2 eye experts deluxe samples,2013-09-23,0.0,0.0,0.0,2013,9,23,Monday,False,Normal,Normal,Normal,Labor Day,0.0,False
145,Clinique,Free 3 skincare minis,2013-09-24,0.0,0.0,0.0,2013,9,24,Tuesday,False,Normal,Normal,Normal,Columbus Day,0.0,False
146,Clinique,Free Shipping,2013-09-27,0.0,1.0,0.0,2013,9,27,Friday,True,Normal,Normal,Normal,Columbus Day,0.0,False
147,Clinique,Free Shipping with any order,2013-10-01,0.0,1.0,0.0,2013,10,1,Tuesday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,False
148,Clinique,Free,2013-10-05,0.0,0.0,0.0,2013,10,5,Saturday,True,Normal,Normal,Columbus Day,Columbus Day,0.0,False
149,Clinique,Free,2013-10-10,0.0,2.0,0.0,2013,10,10,Thursday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
150,Clinique,Free Shipping,2013-10-18,0.0,1.0,0.0,2013,10,18,Friday,True,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
151,Clinique,From $27.5,2013-10-20,0.0,5.0,0.0,2013,10,20,Sunday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
152,Clinique,Free,2013-10-22,0.0,3.0,0.0,2013,10,22,Tuesday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,False
153,Clinique,"['$17 '
 'Free 7 Piece Gift Set ($65 value) + Extra Sample with $25 Purchase']",2013-10-28,0.0,4.0,0.0,2013,10,28,Monday,False,Normal,Normal,Normal,Columbus Day,0.0,False
154,Clinique,Free 7 Piece Gift Set ($65 value) + Extra Sample with $25 Purchase,2013-10-29,0.0,9.0,0.0,2013,10,29,Tuesday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,True
155,Clinique,Free Holiday Tote,2013-11-04,0.0,2.0,0.0,2013,11,4,Monday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,False
156,Clinique,Now Free Shipping! Extra Duo + Free 7 Piece Gift Set($65 value),2013-11-07,0.0,51.0,0.0,2013,11,7,Thursday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,True
157,Clinique,['Free Travel Makeup Case' '$29.50 Limited Edition Eye Compact'],2013-11-09,0.0,1.0,0.0,2013,11,9,Saturday,True,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
158,Clinique,"['Free'
 'Free Makeup Bag and Happy Mini Fragrance and free shipping with Any Order + 3 Samples over $35']",2013-11-13,0.0,3.0,0.0,2013,11,13,Wednesday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
159,Clinique,Free Black Friday Survival Kit(3 minis) + a Free Clinique Happy Mini,2013-11-16,0.0,6.0,0.0,2013,11,16,Saturday,True,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
